,Component,Manufacturer,Part No,Specs,Amount,Price (euros),Link,Notes,Replacement
**Breadbord**,,,,,,,,,
,Aluminum breadbord,Thorlabs,MB3045/M,,1,170,https://www.thorlabs.com/thorproduct.cfm?partnumber=MB3045/M,,
,Feet,Thorlabs,AV4/M,,1,20.86,https://www.thorlabs.com/newgrouppage9.cfm?objectgroup_id=6421,,
**Rail**,,,,,,,,,
,Construction rail,Thorlabs,XT66-750,,1,80,https://www.thorlabs.com/thorProduct.cfm?partNumber=XT66-750,,
,Construction rail mount,Thorlabs,XT66P1,,1,32.25,https://www.thorlabs.com/thorproduct.cfm?partnumber=XT66P1,,
,Rail carriage,Thorlabs,XT66P2/M,,2,62.25,https://www.thorlabs.com/thorproduct.cfm?partnumber=XT66P2/M,,
,Post holder,Thorlabs,PH20/M,,2,6.33,https://www.thorlabs.com/thorproduct.cfm?partnumber=PH20/M,,
**Stage**,,,,,,,,,
,Post,Thorlabs,TR250/M,,4,8.12,https://www.thorlabs.com/thorproduct.cfm?partnumber=TR250/M,can be smaller for embedded prep,
,Post holder,Thorlabs,PH75/M,,4,7.44,https://www.thorlabs.com/thorproduct.cfm?partnumber=PH75/M#ad-image-0,,
,Acrilic stage,custom,133555,,1,10,https://www.modulor.de/acrylglas-gs-transparent-farblos-6-00-x-250-x-500-mm.html,,
,Screen,custom,,,,,,,
**Projector**,,,,,,,,,
,Projector,Asus,P3E,,1,534,https://www.asus.com/us/Projectors/P3E/,,
,Display cable (HDMI),Any,,,,,,,
,Post,Thorlabs,TR40/M,,1,4.52,https://www.thorlabs.com/thorproduct.cfm?partnumber=TR40/M,,
,Post holder,Thorlabs,PH40/M,,1,6.56,https://www.thorlabs.com/thorproduct.cfm?partnumber=PH40/M#ad-image-0,,
**Camera**,,,,,,,,,
,Camera,Ximea,MQ013MG-ON,Python 1300,1,580,https://www.ximea.com/products/usb3-vision-cameras-xiq-line/mq013mg-on,,PointGrey Blackfly S Mono 0.4 MP USB3 Vision (Sony IMX287) https://eu.ptgrey.com/blackfly-s-mono-04-mp-usb3-vision-sony-imx287
,Camera cable,e.g. Ximea,CBL-U3-3M0,"USB 3, 3m passive",1,17,https://www.ximea.com/en/products/usb3-vision-compliant-cameras-xiq/xiq-usb-30-accessories/1-m-usb-30-passive-cable,,
,Camera holder,custom,,,1,0,,,
,Post,Thorlabs,TR75/M,,1,4.93,https://www.thorlabs.com/thorproduct.cfm?partnumber=TR75/M,,
,Camera objective,Navitar,TC.5028,C mount,1,590,https://navitar.com/products/imaging-optics/telecentric/video-telecentric/ ,,
**IR filter**,,,,,,,,,
,Post,Thorlabs,TR75/M,,1,4.93,https://www.thorlabs.com/thorproduct.cfm?partnumber=TR75/M,,
,Lens mount,Thorlabs,LMR2/M,,1,23,https://www.thorlabs.com/thorproduct.cfm?partnumber=LMR2/M,,
,IR filter,Edmund Optics,66-106,830 nm LP,1,69,https://www.edmundoptics.de/optics/optical-filters/longpass-edge-filters/rg-830-50mm-dia.-longpass-filter/,,
**Illumination**,,,,,,,,,
,Power supply,Conrad,ESPS-1500,Voltcraft,1,15,https://www.conrad.com/ce/en/product/1380523/Mains-PSU-adjustable-voltage-----VOLTCRAFT-----ESPS-1500-----3-Vdc-45-Vdc-5-Vdc,,
,Post,Thorlabs,TR150/M,,1,8.12,https://www.thorlabs.com/thorproduct.cfm?partnumber=TR150/M,,
,Post,Thorlabs,TR50/M,,2,8.12,https://www.thorlabs.com/thorproduct.cfm?partnumber=TR50/M,,
,Post holder,Thorlabs,PH40/M,,1,6.56,https://www.thorlabs.com/thorproduct.cfm?partnumber=PH40/M#ad-image-0,,
,Right-angle clamp,Thorlabs,RA90/M,,2,8.87,https://www.thorlabs.com/thorProduct.cfm?partNumber=RA90/M,,
,Lens mount,Thorlabs,LMR2/M,,1,23,https://www.thorlabs.com/thorproduct.cfm?partnumber=LMR2/M,,
,LED holder,Thorlabs,SMR1/M,,1,17,https://www.thorlabs.com/thorproduct.cfm?partnumber=SMR1/M,,
,Cap for LED,Thorlabs,SM1CP2M,,1,16,https://www.thorlabs.com/thorproduct.cfm?partnumber=SM1CP2M,machined to accomodate wires,
,cold mirror,Edmund Optics,#64-450,,1,75,https://www.edmundoptics.de/optics/optical-mirrors/hot-cold-mirrors/45deg-aoi-50.0mm-diameter-cold-mirror/,,
,high power LED,RS Components,e.g. 796-1772,850 nm LED,1,10,https://de.rs-online.com/web/p/led-ir/7961772/,max 1 A power,"LED-tech , Osram Black 850 nm (LT-2418) (https://www.led-tech.de/de/OSRAM-Black-Series-850nm-auf-Star)"
,LED pad,LED-tech,LT-2418,,10,0.4,https://www.led-tech.de/de/Waermeleitklebepad-fuer-16mm-Star,,
,buck pack,Digikey,RCD-24-1.00/W/X3,,1,22,https://www.digikey.com/product-detail/en/recom-power/RCD-24-1.00-W-X3/945-1131-ND/2256311,buck pack that has max 1 A power,wired and dimmable using PWM and/or analogue in
,,,,,**Total**,2586,,,
