,color,duration,name,t_start,t_stop
0,"(255, 0, 0)",0.5,Whole field,0.0010000000000000009,0.511051
1,"(0, 0, 0)",1.0,Pause,0.512051,1.512151
2,"(255, 0, 0)",0.5,Whole field,1.5121510000000002,2.012201
3,"(0, 0, 0)",1.0,Pause,2.0132019999999997,3.013302
4,"(255, 0, 0)",0.5,Whole field,3.013302,3.513352
5,"(0, 0, 0)",1.0,Pause,3.5143520000000006,4.514452
6,"(255, 0, 0)",0.5,Whole field,4.514452,5.014502
7,"(0, 0, 0)",1.0,Pause,5.015502000000001,6.015602
8,"(255, 0, 0)",0.5,Whole field,6.0156019999999994,6.516652
9,"(0, 0, 0)",1.0,Pause,6.5166520000000006,7.516752
